sample	TCGA-FV-A495-01	TCGA-G3-A3CH-11	TCGA-CC-A3MB-01
56548	7.4961	8.4669	7.8068
4166	3.1496	1.4714	0.8237
3687	8.0051	7.9406	7.1051
219477	0	0	0
100033455	0	0	0
597	5.4436	5.5302	3.7355
29899	6.3506	5.7319	8.158
3141	8.9732	9.3579	8.7985
9241	0	1.4714	0
9388	9.6068	10.2112	8.6405
3685	10.1839	9.9388	11.2926
26275	10.3349	10.7979	10.0994
80139	3.5878	5.1883	3.9302
3683	10.4906	10.2442	9.3505
3684	8.1239	7.5066	7.3045
286359	0	0	0
3131	10.4843	12.1504	9.0212
NA	4.9505	5.1164	2.1586
NA	12.1744	11.0211	10.5762
NA	9.9729	10.3509	8.362
NA	11.7153	11.3727	11.8359
710	16.7763	16.8225	14.7249
4093	0	4.2273	0.8237
55809	5.8503	6.3201	5.0921
NA	5.5685	6.1323	3.3561
4043	12.4114	11.8758	12.6254
NA	7.301	5.0407	4.1338
4091	7.9556	7.9817	5.7583
4092	7.7119	9.9583	7.6217
55204	9.6737	8.1622	9.3682
4086	7.8756	9.5612	7.8362
54812	8.9296	10.2432	10.3772
4088	9.8379	9.3461	10.4329
80198	9.1254	8.4991	9.1809
83607	8.3179	9.098	9.1578
11141	0	0	0.8237
132724	0	0	0
3482	10.8854	11.7203	13.0192
9407	1.3645	0	0
389208	0	0	0
84872	8.2524	6.8937	7.2689
642636	0	0	0
26280	0	4.4775	2.8399
285641	0	0	0
1163	11.7203	8.5443	10.7974
206358	6.9795	6.3518	8.5924
6767	12.1358	12.9647	13.3567
641311	3.0155	2.6597	1.8855
NA	0	0	0
55854	9.1987	10.3867	10.9171
155006	0	0	0
NA	4.2563	5.9374	6.4341
9048	2.7031	3.4265	0
417	0	0	0.8237
11255	2.7031	1.4714	0
419	0	0.9157	0
400322	8.0615	7.1312	9.1313
116969	1.3645	3.1665	3.3008
420	7.6623	8.5271	7.9303
54778	7.4119	8.697	9.0276
6919	10.2497	10.6289	8.1079
6920	13.5872	12.0712	11.3003
6917	9.9093	10.6077	11.1456
NA	6.9245	4.5879	5.9138
84701	6.0349	2.1846	2.6758
1327	14.7929	13.2654	12.6601
51283	10.0141	9.766	10.542
124245	8.9978	9.4649	9.8759
389177	0	0	0.4699
100033450	0	0	0
NA	0	0	0.4699
6494	11.2833	9.9837	10.1921
56253	3.4901	5.3222	2.1586
1896	6.5289	6.4863	10.3192
128366	0	0	0
164592	0	1.8717	0.8237
93664	8.1481	8.5478	8.8184
NA	2.5171	0.9157	0.8237
84317	8.858	9.257	8.6377
153733	4.2563	5.1528	6.3616
NA	5.0994	5.8291	3.6932
256309	0	2.1846	5.2316
NA	6.6129	6.7769	7.3095
123169	8.8157	8.9114	10.1705
480	0	0	0
478	2.053	2.8491	1.1077
477	4.0659	4.9608	3.3561
476	13.3069	12.9806	13.5922
NA	4.426	4.0379	3.0861
23295	10.8568	10.7812	11.4943
6950	11.7586	11.7211	12.4263
10491	12.1154	11.1018	10.7864
23624	10.0424	7.9613	9.2473
8877	8.8862	5.5169	4.6012
1805	11.8665	9.352	4.4198
60467	0	0	0
404093	7.0151	7.0272	7.039
79004	11.4452	9.8404	9.9069
868	7.4185	7.8213	8.5881
80315	8.0868	11.628	10.9723
64506	0	0	0
7596	6.119	6.9465	6.8449
22849	7.2271	10.2693	7.3798
132864	7.3436	10.1584	9.2168
57596	5.1872	1.4714	2.5861
139804	0	0	0
55644	8.9777	8.9687	7.8746
18	12.9287	14.2891	12.3831
NA	7.7851	5.4429	7.3098
284323	7.9232	7.9144	7.6634
163131	6.2885	7.2867	6.2198
83660	9.1172	7.5686	6.7706
2483	10.2563	9.1234	8.7785
448831	0	0	0
121268	6.2885	3.0165	4.1651
7592	5.2778	6.7585	7.4734
57560	6.5773	6.7347	7.9604
64319	10.3136	9.7719	10.2778
84330	9.1734000000000009	7.4419	8.1632
8100	6.9974	8.5167	8.3364
3587	9.0883	10.0814	7.5225
5462	4.5265	3.6467	1.8855
6667	10.1025	10.1584	11.0223
10999	10.6426	10.3182	10.3515
6668	8.3461	8.5167	9.2243
29789	9.8103	9.8858	10.7446
5368	3.9235	3.7454	1.1077
1270	0	3.6467	3.8824
55388	6.5533	3.3023	9.0477
10954	10.4571	11.17	10.1438
6671	5.0567	6.6733	7.3596
55151	6.4531	8.6627	8.7256
25917	9.0111	9.4393	9.0633
347252	2.053	0.9157	0
389058	6.6125	6.5284	6.6319
84938	6.3594	7.6019	6.676
23192	10.6125	9.5059	10.0918
115201	8.2782	9.1752	9.0644
80745	6.8962	6.5559	6.563
NA	3.0155	5.079	5.6519
84971	8.9627	7.9443	8.6483
401	0	0	0
8929	0	0	0
767612	0	0	0
767611	0	0	0
136332	0	0	2.9155
54737	7.4513	9.0745	9.3556
7379	1.3645	0	0
3075	15.1838	15.9782	14.6333
3426	12.12	14.1872	11.9329
4860	9.4948	11.5686	10.2105
51479	9.3013	10.4792	9.251
NA	0	0	0
629	16.7208	16.9942	15.5725
120066	0	0	0
120065	0	0	0
NA	10.3842	11.1882	12.2593
100033443	0	0	0
1387	10.4506	10.6718	10.9356
5411	9.9316	10.121	10.8632
84457	5.6156	5.6649	7.9319
8992	12.5438	11.6064	11.8182
155066	11.3023	11.9488	8.5574
79589	9.8735	12.3388	11.3722
5199	9.0067	10.743	6.1275
8086	10.0606	9.4775	10.1295
57817	12.4923	15.3793	7.7893
84124	8.9912	8.4633	8.1748
54847	4.7955	5.8951	2.6758
51156	11.6762	13.151	11.7317
51092	9.6543	10.6125	9.5824
100033444	0	0	0
129685	8.2855	8.914	8.4231
140464	0	0	0
51804	2.5171	2.1846	4.9193
NA	9.4662	8.922	5.5488
4990	0	0	0
148811	2.053	1.8717	0.8237
3140	6.5411	7.1403	6.1275
NA	0	0	0.4699
6496	0	0	0
100033441	0	0	0
374666	9.8735	7.827	9.1752
245812	8.1075	7.1672	8.0399
10695	11.7602	11.114	10.3214
10330	12.0987	10.9091	11.095
285888	0	0	0
4838	0.8379	1.4714	1.3448
8867	6.1026	7.7218	7.8018
85442	7.2195	4.7864	6.7958
10363	8.8031	9.7922	9.6947
10362	11.4497	10.2526	10.0857
493911	5.4436	3.5408	5.9275
79719	8.4009	9.0649	9.8
55286	9.9544	9.9072	9.7471
NA	0	0	0
84138	4.527	6.505	7.1639
NA	0	0	0
NA	9.216	8.7184	8.1515
NA	0	0	0
NA	8.2217	6.859	7.1182
NA	0	0	0
NA	5.9639	4.0838	4.4976
285382	4.4244	4.2273	4.5909
26974	3.5878	4.6402	1.5484
83876	5.0567	9.7136	3.5103
284406	5.6386	4.7393	2.0285
55743	7.8949	8.2277	7.9839
NA	8.1759	9.3772	9.2564
83546	7.5637	0.9157	2.1586
NA	4.0659	7.5686	7.3528
100329167	0	0	1.7268
10936	2.5171	4.6906	2.8399
119369	2.7031	2.4416	0.8237
284612	4.0659	7.0659	3.4607
731220	0.8379	0.9157	2.278
7673	5.7271	4.9191	4.6138
5992	0	0.9157	0.4699
81472	0	0	0
554	3.6793	0.9157	0.4699
64864	6.9338	7.6472	7.2725
9369	4.3705	3.8377	2.5861
NA	5.1557	4.7864	3.6496
9378	3.1496	3.4265	0.4699
5991	3.1496	3.3023	3.8933
692227	0	0	0
10739	1.3645	2.6597	0
155382	8.0314	6.6093	6.8736
126204	0	0	0
324	8.1561	9.1394	9.2528
374395	10.7335	10.2547	10.0187
6059	8.8358	10.2294	10.1095
7385	11.3661	12.5193	12.1154
7511	9.7614	9.4356	10.12
7512	8.0868	12.1006	1.7268
201798	0	1.8717	0
9326	9.3637	8.7423	8.7369
2677	11.9014	12.3933	12.2284
89932	8.4952	6.6223	7.2287
23394	8.4889	9.9583	10.7977
219854	8.7003	7.6599	7.7408
29091	7.7599	4.0064	7.4545
10657	11.6804	10.9131	11.0054
NA	4.5572	4.1574	2.5861
10656	6.8866	8.0412	9.5249
79017	9.9661	9.3461	9.7048
55048	8.1441	7.7753	8.508
342667	0	0	0
NA	0	0	0
55893	9.216	10.0779	10.2217
246329	6.5289	6.2207	5.1376
90665	0	2.1846	3.121
3973	0	0	0
NA	0	0	0
158131	0	0	0
55654	10.8464	10.8938	11.1278
27201	0	0	0
8989	1.3645	0	0.4699
79720	8.7826	8.6877	7.5465
57217	9.9046	9.3559	10.1118
440567	9.7176	8.3659	8.7032
9889	7.9873	7.9354	10.1384
NA	12.1667	11.241	11.5594
NA	8.1954	8.9889	6.9609
56896	1.7494	0	1.8855
1808	10.5157	9.9988	7.8068
1809	9.9188	7.2282	7.1131
28962	8.5955	9.35	9.5702
860	3.8466	6.3828	3.1834
NA	10.0648	9.6402	10.8662
386685	0	0	0
386678	0	0	0
353333	0	0	0
3485	15.7822	12.1303	11.5405
3486	12.464	14.5617	11.6533
3484	13.4677	13.2405	12.6219
23246	9.5744	7.9817	8.7058
3490	13.9407	12.3128	11.0263
3487	15.7443	15.4814	14.3751
3488	9.8116	11.1381	9.7679
6502	5.7484	7.1312	7.6959
7268	9.6527	8.6468	8.3052
120227	8.1837	7.4196	8.3399
51192	9.082	7.3971	9.1519
NA	6.9057	6.0766	7.6441
NA	2.3036	0	1.1077
NA	6.5653	1.8717	2.5861
NA	10.9957	10.7437	10.9537
2700	0	2.1846	0
187	11.3122	9.6225	9.1885
NA	8.325	7.3586	9.0654
NA	5.218	3.9245	3.5103
2703	0	0	0
1582	12.9571	14.867	9.1732
NA	3.0155	0	2.0285
NA	7.8901	7.8042	7.9143
3925	12.222	9.0262	11.2846
9294	9.9082	6.7104	7.4734
51780	9.191	9.7348	10.7642
NA	0	0	0
9263	8.5659	8.3345	8.7873
55818	7.9556	9.2507	9.1742
NA	0	0	0
1901	7.9693	10.2579	7.8191
NA	6.1353	5.3847	4.9375
147798	8.0357	7.7035	2.1586
53904	3.3853	2.4416	0.4699
11322	9.6098	8.7808	7.0005
158405	3.9964	6.2207	5.425
51074	8.4308	8.8725	9.0499
117531	0.8379	0	0.4699
2838	0	1.8717	0
342125	0	0	0
5313	12.8991	13.0768	12.7533
253017	0.8379	0	0.4699
8890	10.0563	9.2253	9.7001
8893	10.4587	9.8763	10.3696
8892	8.6866	8.6275	8.7478
8891	9.8576	9.5234	8.9009
1967	10.3541	9.7106	10.063
5576	3.4901	7.6536	7.9212
NA	4.9133	7.4854	8.6377
143570	9.3234	8.4282	8.7874
NA	11.4858	13.7352	11.8004
NA	4.9505	3.9245	0
10628	12.0308	13.7433	13.4984
120103	7.2571	7.335	7.9529
NA	2.3036	0.9157	1.5484
642280	2.8677	2.6597	3.121
4291	4.3145	3.9245	2.0285
23475	12.2241	12.6027	12.4783
9742	7.8611	6.9773	6.4016
8079	12.8212	13.1588	12.8763
51522	11.2796	10.771	11.4995
728262	0	0	2.5861
100132403	0	0	1.5484
2188	7.9326	7.9144	8.6708
2122	5.4949	6.2878	6.7397
3674	2.053	1.8717	0.8237
89765	3.3853	2.6597	3.9302
3428	10.1473	9.839	8.3467
55553	5.4173	8.6532	8.6335
NA	6.8178	6.304	6.9475
7265	10.9722	9.8222	10.106
NA	0	0.9157	0.4699
NA	1.161	6.017	6.0539
23040	0	0	0
NA	7.7065	5.8291	7.346
NA	5.1234	3.0165	0.4699
10390	9.1871	10.1806	8.7606
NA	8.0183	8.994	9.7448
NA	9.4337	8.9788	8.8845
3080	14.388	13.4652	11.3526
10878	11.5256	13.7097	10.7617
25932	10.3428	10.7272	10.4167
53405	5.79	5.4738	3.3561
1193	7.0063	8.3813	8.5953
9022	4.7955	4.2273	1.5484
10877	9.5382	10.7013	7.0092
81494	10.1128	11.6272	8.888
728279	0	0	0
81872	0	0	0
NA	0	0	0
NA	8.4276	7.7399	8.7296
85294	0	0	0
10430	10.989	9.7121	10.5856
432	14.073	14.3459	13.7623
433	14.2438	14.7342	13.5927
56147	5.3639	2.0366	2.0176
668	0	0	0
6016	7.9418	7.827	8.1767
85014	11.1234	10.8326	9.7825
2300	4.7955	2.4416	3.4093
7536	11.8469	11.7162	11.5997
56142	0	3.8964	1.3404
5570	6.1513	6.4428	3.5582
NA	10.8441	8.6345	7.3135
8539	10.6874	11.1454	10.2025
200634	7.0584	7.3741	3.5103
9253	7.6225	6.5422	6.1589
219790	5.1557	3.3023	4.5441
285671	6.3868	7.2196	4.1957
5027	1.3645	4.4775	7.1988
9728	7.3849	10.0814	9.5197
100133234	1.3645	0	2.0285
NA	0	0	0
3037	2.3036	2.4416	3.3561
NA	4.1322	0.9157	1.5484
3113	12.6459	12.1686	10.202
140831	6.4531	6.0766	6.1973
26017	11.4193	11.1284	10.7883
57179	10.9602	11.7422	10.7072
654463	0	0	7.225
245	5.1234	4.3578	2.9155
80307	4.754	3.1665	2.3881
90342	0.8379	0	0
11238	5.7375	5.4168	5.6858
84527	6.9245	7.2774	5.8458
64856	11.4558	10.8284	11.0636
NA	10.7268	10.3162	10.5464
NA	5.9456	3.4265	3.7355
NA	10.2948	6.7226	7.1798
NA	3.8466	4.6402	1.8855
NA	2.8677	0.9157	2.8399
79698	0.8379	0.9157	0
NA	12.179	10.5093	10.4996
148223	10.2756	8.7544	10.0573
4603	6.7455	5.9786	7.5524
9572	10.373	8.2827	9.4629
NA	11.4794	10.1494	10.115
NA	9.601	8.4229	9.1636
9270	9.9987	7.7218	8.7696
NA	0	0	0
26548	4.2563	2.4416	3.0557
7553	8.444	7.7677	8.7506
7549	6.1672	6.0575	5.9769
7551	9.2481	8.8573	9.5009
140690	1.7494	3.8973	4.3748
22822	9.4516	9.9736	9.931
6160	14.5127	12.726	13.0697
7554	4.9421	4.7146	5.2879
654790	3.2722	5.2899	5.8859
NA	8.9732	7.8822	8.4646
56673	0	0.9157	0
7535	7.5993	7.6662	5.2896
100033446	0	0	0
NA	11.8583	10.0285	10.5867
389874	0	0	0
55325	9.1607	9.1631	8.3625
11054	12.1806	11.2222	11.0994
9852	8.5808	9.2528	8.2424
988	9.471	9.9046	10.3266
5880	9.7216	9.9736	7.5346
5881	9.3085	8.5815	7.0048
5879	12.4824	11.8662	12.5092
51119	9.5151	11.3971	11.3739
10171	10.2423	11.626	8.5125
646643	0	0	0
55168	10.9459	9.9988	10.3511
10814	3.5878	0	4.5441
594855	0	0	0
NA	9.1793	8.4117	9.0529
10815	8.4341	6.7104	8.7935
160	11.6242	11.549	11.864
339302	1.3645	1.4714	1.1077
161	11.1896	11.2132	11.0472
NA	2.8677	3.7454	3.6932
11025	6.7665	7.1672	5.0898
8618	1.7494	1.8717	0
63979	6.9057	6.0766	8.0122
NA	0	0	0
5090	8.78	9.2859	9.2763
5087	7.4707	9.352	5.8087
326	0	0	0.4699
29767	5.79	6.0186	5.9321
79157	8.6037	8.425	8.3711
54888	10.2966	10.6843	10.6018
55695	10.5525	8.5443	10.0331
387338	8.4698	8.697	8.2768
79730	2.7031	3.1665	0.4699
221078	8.7486	9.8432	10.4826
400735	3.1496	5.415	12.033
343068	0	2.2097	3.3561
440561	0	2.1591	6.6705
27175	7.8012	6.9361	7.492
NA	0	0	0
65121	2.5171	0	0
65122	0	3.5408	0
NA	2.7031	0	1.3448
8643	2.053	3.1665	2.7602
125962	0	0	0
56113	0	4.0838	3.4093
343070	1.3645	2.6597	9.0675
56979	3.5878	0	0.4699
NA	8.3669	8.5167	8.9159
NA	7.5577	8.8573	8.3295
23216	10.4326	10.048	10.2929
7789	4.5265	4.832	4.6138
25891	8.7327	8.3226	6.079
5883	9.0868	7.4239	8.638
51290	9.0155	9.1597	9.5811
51614	12.9155	12.0942	12.4494
30850	7.4578	6.6982	6.0541
57222	12.0948	13.1918	13.5932
161198	9.6903	8.3503	7.8435
64146	9.2433	8.7512	8.1291
26229	11.6679	9.9608	10.4915
135152	0	2.2207	3.685
27087	3.5878	7.1849	1.7268
100132103	0	0	0
440078	0.8379	0	1.1077
5187	11.8085	11.4755	10.9113
55313	10.5638	10.8305	10.7955
341276	0	0	0
8409	11.7593	10.0215	10.5736
805	12.7054	12.3649	13.1731
808	12.5281	12.2661	12.1614
51324	11.3077	11.5529	11.2734
801	12.3552	12.6751	11.5613
284110	3.5878	3.8377	1.7268
55876	9.2777	6.7935	6.8784
56169	0.8379	0	1.7268
79792	12.9488	11.6429	11.5402
59340	0	3.0165	0.4699
7348	1.3645	3.4265	0
9228	2.053	3.9245	1.3448
58512	3.4901	3.1665	1.7268
9229	0	0	0.4699
22839	10.572	9.5165	11.0711
9787	7.3224	3.1665	8.1748
676	0	0	0
3274	0.8379	2.6597	0.4699
10150	10.1383	12.1937	11.4926
55796	6.7242	8.9814	8.8171
1263	7.4961	6.5005	7.2725
1	16.8006	16.3369	12.814
123016	6.9338	7.8438	7.2398
10769	9.437	8.7245	9.1655
NA	5.8892	7.2536	7.704
11339	7.4028	3.2722	7.6616
1182	7.4643	9.3323	8.8035
1181	6.1672	5.712	7.4225
1180	1.7494	2.4416	0
3269	5.3631	5.1164	3.8165
1186	11.8031	10.9111	11.764
1185	8.0051	7.5753	8.5619
1184	9.5413	10.489	10.2081
1183	6.5533	8.0117	8.8656
54620	7.8314	6.5961	7.9462
10902	10.1169	8.849	9.3882
65980	9.4995	8.3775	9.6947
56114	0	2.4416	1.5484
80028	8.6072	5.9164	9.0072
23476	9.727	10.8789	11.0084
29117	8.9481	9.2528	9.537
23774	7.8756	9.3925	10.0867
6046	11.0276	11.9213	12.509
8019	8.5916	9.2908	8.7974
10294	9.6931	10.8659	10.1428
9093	10.5794	11.339	11.2709
3301	11.6818	12.6217	11.9471
7049	8.0007	10.24	7.1644
55466	6.1513	6.3201	5.1243
2734	11.8604	11.1364	11.135
NA	6.1985	5.4447	5.8186
5782	8.8677	9.6482	10.642
5781	9.3474	11.7743	11.7185
NA	0.8379	0	0
NA	0	0	0
NA	3.0155	1.4714	2.0285
26292	8.6188	8.1397	7.9618
5784	4.7113	4.0838	5.867
8484	3.1496	2.6597	0
8811	2.5171	0	1.3448
2587	0	0	0
23067	9.4238	9.6546	9.7226
55646	7.5516	7.7812	9.0778
64881	0.8379	5.6109	5.2464
NA	9.7601	9.7704	10.4313
9023	6.119	4.6402	0.8237
404550	4.5265	3.8377	2.6758
NA	9.9105	5.7362	7.3798
51264	12.3063	10.3232	10.4163
1438	7.0753	6.304	9.5302
1756	8.4698	11.1921	10.1811
NA	4.2563	3.9245	2.9155
NA	10.1025	9.9988	9.7628
NA	2.5171	0	1.7876
128954	0	0	0
78999	7.6397	5.6369	5.5249
123970	0	0	0
NA	7.3781	3.0369	4.6913
2549	8.0742	8.3659	8.2239
388963	6.606	4.8436	3.4926
389073	0	0	0
NA	0	0	0
NA	6.7975	3.6467	4.367
NA	0.8379	1.4714	0
NA	2.053	1.8717	1.8855
3026	13.7884	14.1826	14.285
NA	4.3705	4.9191	4.4455
NA	6.4137	5.1528	1.8855
84281	4.3705	7.9867	6.2346
NA	0	0	0
57446	8.3286	8.4991	9.5533
65009	4.5265	6.2878	3.0557
23158	8.3806	9.7557	9.3564
54993	8.2891	7.5886	8.4583
118471	15.1517	13.9878	12.383
9557	10.1332	9.5813	11.0553
3203	0	0	0
3202	2.5171	3.8377	2.6758
94162	0	0	0
374407	0	0	0.8237
54788	10.3314	10.3838	9.9161
51726	11.4206	10.7415	11.6265
3201	5.4605	4.0838	3.8903
3119	13.01	9.1597	7.6274
4477	0	0.9157	0
NA	0	0	0
79982	4.9505	7.5414	7.1874
51444	7.0669	9.053	8.397
3200	5.3904	3.4265	2.9155
55556	9.5836	10.9839	9.5463
3199	3.6793	2.1846	2.6758
493856	9.5504	10.4872	10.4799
284106	12.8593	11.67	11.0526
55847	10.5017	9.3363	9.3539
1207	10.6915	10.1539	10.2652
3198	3.0155	3.1665	2.278
NA	5.3352	3.7454	4.3398
140902	0	0.9157	0
128553	4.9868	7.582	8.0357
57616	5.9639	5.7834	5.0254
253314	0	0	0
9902	10.2423	9.1641	7.9143
2307	8.1992	3.0165	5.6954
728773	0	1.4714	0.4699
51545	9.3421	7.6215	8.1958
3543	0	0	0
57192	10.2884	9.5863	9.4031
147948	3.8466	5.1164	2.3881
25976	8.1521	9.3656	9.0757
201514	7.6167	7.3429	7.195
84914	6.5179	7.5808	8.1153
404037	5.927	7.6247	5.172
51385	7.8063	6.0186	5.8765
11338	11.0167	10.7703	11.5161
55901	6.7769	5.4738	5.6629
NA	4.6673	3.1665	3.8554
11070	11.1472	10.4281	10.1325
NA	7.6511	8.3464	7.599
5970	11.0589	10.8348	10.9954
NA	0	0	0.8237
10161	8.5538	8.5026	7.7968
124801	10.2385	9.8151	9.6711
5662	4.9868	3.7454	1.8855
80146	9.3421	8.994	10.3175
10645	10.2394	10.4401	10.8184
84254	6.8575	5.3222	3.9302
22953	3.0155	0	0.4699
3205	1.3645	1.8717	0.8237
NA	4.2563	1.4714	2.3881
219417	0	0	0
57121	5.9456	6.428	4.367
7784	6.5931	3.8377	6.2881
NA	1.3645	2.4416	0.4699
7783	0	0	0
114908	11.9763	13.2533	13.4173
54516	7.3849	7.8659	7.9641
283446	0	0	0.4699
64005	8.1837	7.615	4.6803
4542	9.5244	9.7348	7.2324
4643	9.4646	10.6812	10.0759
4642	10.319	10.4548	11.0804
4641	11.7661	11.6007	11.9985
4430	11.9605	13.4545	12.1645
4640	2.7031	3.4265	8.1786
2896	14.2485	12.7726	13.1266
158062	1.7494	0.9157	0
NA	4.8751	4.5879	2.9155
6166	12.9192	11.8997	10.9994
353091	2.5171	1.8717	1.5484
NA	8.7179	9.5864	8.8126
91782	9.6343	9.6906	10.2365
79643	11.1993	9.616	9.3716
613	10.2432	9.9698	11.1663
390072	0	0	0
390075	0	0	0
390077	0	0	0
56474	7.8805	8.6113	9.0126
10403	7.9873	3.6467	8.291
79473	0	0	0
391365	0	0	0
80740	0	0	0
3209	4.4244	0	0.4699
79136	0	0	0
3207	0.8379	0	0
3206	1.3645	0.9157	1.3448
337969	0	0	0
337970	0	0	0
653598	3.5878	4.9191	5.8952
337882	0	0	0
337973	0	0	0
337974	0	0	0
337971	0	0	0
NA	6.8575	8.2614	8.1515
NA	8.9085	10.262	9.9966
728299	0	0	0
NA	9.3801	8.7895	9.9597
25788	5.1054	4.8387	7.4953
168391	0	0	0
NA	9.5685	8.5306	8.192
283629	1.3645	2.4416	1.8855
442117	0	2.4416	0
NA	8.0868	6.5284	3.8165
134353	7.3917	6.3361	7.8313
NA	7.521	6.7819	8.0937
NA	6.3172	5.7362	3.5103
767579	0	0	0
23451	11.0716	11.9223	12.2537
11334	10.4899	9.0933	8.8355
6717	8.8555	8.4742	6.676
23353	9.8254	10.4225	11.751
6345	3.7654	4.5879	1.7268
6723	11.9926	10.079	9.923
63826	7.1418	7.6556	6.987
3965	10.9795	10.1438	9.3682
3964	9.5752	9.3283	9.3824
3958	10.4498	9.053	10.0091
3957	6.9523	6.0766	2.5861
3956	13.4697	11.6093	11.8228
6736	0	0	0
3963	1.3645	0	0.4699
3960	12.9025	11.6745	14.61
10874	0	0	0.4699
